Sender: LSF System <lsfadmin@gauss01>
Subject: Job 255427: <DROSGD> in cluster <cjdx.cluster> Done

Job <DROSGD> was submitted from host <alpha02> by user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:45 2023
Job was executed on host(s) <gauss01>, in queue <gauss>, as user <xiechenghan> in cluster <cjdx.cluster> at Thu May 18 19:14:46 2023
</nfsshare/home/xiechenghan> was used as the home directory.
</nfsshare/home/xiechenghan/DRO_trustregion> was used as the working directory.
Started at Thu May 18 19:14:46 2023
Terminated at Fri May 19 02:09:14 2023
Results reported at Fri May 19 02:09:14 2023

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#/bin/bash
#BSUB -J DROSGD
#BSUB -e /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.err
#BSUB -o /nfsshare/home/xiechenghan/DRO_trustregion/log/NAME_%J.out
#BSUB -n 1
#BSUB -q gauss
#BSUB -gpu "num=1:mode=exclusive_process"
python my_train.py --optim sgd
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   431194.69 sec.
    Max Memory :                                 2323 MB
    Average Memory :                             2246.59 MB
    Total Requested Memory :                     -
    Delta Memory :                               -
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                154
    Run time :                                   24868 sec.
    Turnaround time :                            24869 sec.

The output (if any) follows:

{
  "eta": 0.08,
  "beta1": 50,
  "beta2": 30,
  "zeta1": 0.25,
  "zeta2": 0.75
}
{
  "qp_rate": 0.3,
  "qp_freq": 1,
  "decay_mode": 1,
  "decay_window": 8000,
  "decay_step": 500.0,
  "decay_radius_step": 0.2,
  "decay_sin_rel_max": 100000000.0,
  "decay_sin_min_scope": 0,
  "decay_sin_max_scope": 37600
}
Using [cuda] for the work
train from scratch!
-----------------------epoch 1-----------------------
-----------current learning rate: 0.001000-----------
training || loss:0.0030406 MAE:16.93282 [32/165515]
training || loss:0.0011890 MAE:11.67693 [3232/165515]
training || loss:0.0021915 MAE:16.76875 [6432/165515]
training || loss:0.0015163 MAE:14.10738 [9632/165515]
training || loss:0.0030497 MAE:18.29958 [12832/165515]
training || loss:0.0025560 MAE:16.69166 [16032/165515]
training || loss:0.0009812 MAE:10.34240 [19232/165515]
training || loss:0.0008113 MAE:10.09802 [22432/165515]
training || loss:0.0015463 MAE:13.41710 [25632/165515]
training || loss:0.0011391 MAE:12.35530 [28832/165515]
training || loss:0.0014429 MAE:14.05107 [32032/165515]
training || loss:0.0011551 MAE:9.86364 [35232/165515]
training || loss:0.0014141 MAE:12.75673 [38432/165515]
training || loss:0.0014745 MAE:12.79280 [41632/165515]
training || loss:0.0011082 MAE:10.18378 [44832/165515]
training || loss:0.0013236 MAE:12.09145 [48032/165515]
training || loss:0.0011406 MAE:13.06316 [51232/165515]
training || loss:0.0010319 MAE:10.62135 [54432/165515]
training || loss:0.0010555 MAE:10.60981 [57632/165515]
training || loss:0.0006248 MAE:7.96698 [60832/165515]
training || loss:0.0006713 MAE:7.09737 [64032/165515]
training || loss:0.0009839 MAE:10.94387 [67232/165515]
training || loss:0.0007928 MAE:10.10609 [70432/165515]
training || loss:0.0010270 MAE:10.55911 [73632/165515]
training || loss:0.0007892 MAE:9.98749 [76832/165515]
training || loss:0.0007502 MAE:8.26674 [80032/165515]
training || loss:0.0006662 MAE:9.37356 [83232/165515]
training || loss:0.0009744 MAE:11.26791 [86432/165515]
training || loss:0.0005227 MAE:8.97343 [89632/165515]
training || loss:0.0006325 MAE:8.36880 [92832/165515]
training || loss:0.0010203 MAE:11.12657 [96032/165515]
training || loss:0.0009000 MAE:9.75364 [99232/165515]
training || loss:0.0006541 MAE:9.15688 [102432/165515]
training || loss:0.0009149 MAE:9.76769 [105632/165515]
training || loss:0.0005553 MAE:8.11063 [108832/165515]
